supplier,category,title,sku,gtin,sitePrice,landedCost,carriageKnown,photos,tier,rrp,stock,mineBay,keepeBay,minOnBuy,keepOnBuy,vsRrp,viableOnEbayUnderRrp
Aosom,fire-pits,"11kW Freestanding Gas Patio Heater, Black",842-390V70BK,,189,128.62,NO — margin overstated,4,viable,,,197,39.61,186,37.65,,yes
Aosom,pergolas,3 x 3m Double-Roof Garden Gazebo with Netting,84C-128,,219,121.69,NO — margin overstated,4,strong,,,187,37.99,176,35.63,,yes
Hill Interiors,candles-and-lanterns,Set Of Three Wooden Lanterns With Traditional Cross Section,17459,5050140745991,186,119.75,yes,3,viable,195,74,184,37.37,173,34.88,5.6,yes
Hill Interiors,side-tables,Camden One Drawer Side Table,23953,5050140395387,186,119.75,yes,5,viable,195,117,184,37.37,173,34.88,5.6,yes
Aosom,fire-pits,11kW Adjustable Gas Patio Heater,842-389V70SR,,219,118.27,NO — margin overstated,4,strong,,,181,36.29,171,34.58,,yes
Aosom,pergolas,"Metal Pergola with Retractable Roof and Drainage, Grey",84C-175,,166.83,118.34,NO — margin overstated,4,below,,,181,36.21,171,34.5,,yes
Hill Interiors,vases,Garda Grey Glazed Juniper Vase,21772,5050140177280,176,116.39,yes,1,viable,185,25,178,35.6,168,33.77,3.8,yes
Hill Interiors,kitchen-furniture,Adjustable Tractor Seat,19925,5050140992593,176,116.39,yes,5,viable,185,12,178,35.6,168,33.77,3.8,yes
Aosom,fire-pits,"PE Rattan Gas Fire Pit Table, Mixed Grey",867-147V70GG,,166.83,112.72,yes,4,viable,,,173,34.99,163,32.96,,yes
Hill Interiors,vases,Hammered Silver Astral Vase,21718,5050140171882,176,112.79,yes,4,viable,185,49,173,34.92,163,32.89,6.5,yes
Hill Interiors,shelving,Axis Shelf Unit With Glass Shelves,24399,5050140439982,149,112.79,yes,5,below,,,173,34.92,163,32.89,,yes
Aosom,beds,"4ft6 Double Ottoman Bed with Front Drawer, Cream",831-804V70CW,,399,109.86,NO — margin overstated,4,strong,,,169,34.44,159,32.25,,yes
Aosom,fire-pits,"50,000 BTU Gas Fire Pit Table 81cm, Grey",842-252V01GY,,198,110.1,yes,4,strong,,,169,34.2,159,32.01,,yes
Aosom,fire-pits,"50,000 BTU Gas Fire Pit Table 81cm, Black",842-252V01SR,,187,110.1,yes,4,strong,,,169,34.2,159,32.01,,yes
Aosom,fire-pits,"50,000 BTU Gas Fire Pit Table 71cm with Glass Screen, Grey",842-346V70GY,,179,109.45,yes,4,strong,,,168,33.99,158,31.76,,yes
Aosom,fire-pits,"50,000 BTU Gas Fire Pit Table with Cover, Dark Grey",842-346V70CG,,189,110.41,NO — margin overstated,4,strong,,,169,33.89,160,32.59,,yes
Aosom,fire-pits,"Square Propane Gas Fire Pit Table, Black",842-260V70,,159,106.34,yes,4,viable,,,163,32.82,154,31.29,,yes
Aosom,fire-pits,"40,000 BTU Gas Fire Pit Table, Dark Grey",842-253V00CG,,189,101.7,NO — margin overstated,4,strong,,,156,31.48,147,29.66,,yes
Aosom,fire-pits,"11.7kW Propane Gas Fire Pit Table, Black",842-460V70BK,,189,100.14,NO — margin overstated,4,strong,,,154,31.33,145,29.44,,yes
Hill Interiors,living-room-storage,Contour Collection Pet Feeder Table,24336,5050140433683,152,98.87,yes,4,viable,160,2,152,30.89,143,28.91,5,yes
Hill Interiors,console-tables,Camden Half Moon 3 Tier Table,23951,5050140395189,152,98.87,yes,5,viable,160,29,152,30.89,143,28.91,5,yes
Aosom,fire-pits,"Rattan-Style Propane Gas Fire Pit Table, Grey",842-303V70GY,,169,96.23,NO — margin overstated,4,strong,,,148,30.11,139,27.98,,yes
Aosom,fire-pits,"Portable Smokeless Wood-Burning Fire Pit, Silver",842-337V00SR,,120,94.86,NO — margin overstated,4,below,,,146,29.77,137,27.55,,yes
Aosom,beds,"3ft Single Pine Storage Bed with Drawers, Grey",83D-032V00GY,,165,92.2,NO — margin overstated,4,strong,,,142,29.01,133,26.63,,yes
Hill Interiors,bedroom-mirrors,Nahla Large Mirror With Dimpled Frame,24389,5050140438985,118,92.39,yes,4,below,,,142,28.82,134,27.34,,yes
Aosom,fire-pits,"Rattan-Style Propane Gas Fire Pit Table, Black",842-303V70BK,,149,93.43,yes,4,strong,,,143,28.63,135,27.19,,yes
Hill Interiors,vases,Downton Large Antique White Vase,19501,5050140950197,138,91.91,yes,3,viable,145,12,141,28.45,133,26.93,2.8,yes
Hill Interiors,lighting,Solenne Table Lamp with Edged Linen Shade,24440,5050140444085,138,91.91,yes,4,viable,145,105,141,28.45,133,26.93,2.8,yes
Aosom,pergolas,"Lean-To Steel Pergola with Sliding Canopy, Dark Grey",84C-470V02CG,,174.59,89.05,NO — margin overstated,4,strong,,,137,27.88,129,26.21,,yes
Aosom,fire-pits,"40,000 BTU Gas Fire Pit Table 71cm, Grey",842-253,,149,87.9,yes,4,strong,,,135,27.32,127,25.56,,yes
Aosom,pergolas,Pop-Up Double-Roof Gazebo with Netting and Carry Bag,84C-166V01LG,,130,85.52,NO — margin overstated,4,viable,,,131,26.29,124,25.26,,yes
Aosom,privacy-screens,"Metal Privacy Screen and Climbing Trellis, Black",84J-037V00BK,,114.45,84.17,NO — margin overstated,4,below,,,129,25.93,122,24.82,,yes
Aosom,water-features,"Garden Water Feature with LED Lights, Dark Grey",844-830V00MX,,98,77.92,NO — margin overstated,4,below,,,120,24.48,113,23.01,,yes
Aosom,desks,"Computer Desk with Drawers and Printer Stand, Oak",920-026YL,,149,79.63,NO — margin overstated,4,strong,,,122,24.48,115,23.1,,yes
Aosom,water-features,"Five-Tier Cascading Fountain with LED Lights, Rustic Brown",84J-250V70MX,,109.6,77.93,NO — margin overstated,4,below,,,120,24.47,113,23,,yes
Aosom,water-features,Five-Tier Freestanding Waterfall Fountain,84J-257V70MX,,109,77.93,NO — margin overstated,4,below,,,120,24.47,113,23,,yes
Aosom,privacy-screens,"Leaf Metal Privacy Screen, Green",844-743V00GN,,102.81,79.67,NO — margin overstated,4,below,,,122,24.44,115,23.05,,yes
Hill Interiors,lighting,Sepia Shadows Squat Table Lamp With Linen Shade,24686,5050140468685,119,77.99,yes,5,viable,125,117,120,24.41,113,22.95,4,yes
Hill Interiors,lighting,Seraphia Table Lamp with Edged Linen Shade,24442,5050140444283,119,77.99,yes,5,viable,125,258,120,24.41,113,22.95,4,yes
Hill Interiors,lighting,White Beaded Ceramic Table Lamp with Linen Shade,23732,5050140373286,119,77.99,yes,4,viable,125,37,120,24.41,113,22.95,4,yes
Hill Interiors,lighting,White Ceramic Pot Table Lamp with Linen Shade,23730,5050140373088,100,77.99,yes,5,below,,,120,24.41,113,22.95,,yes
Aosom,fire-pits,Ceiling-Mounted Infrared Halogen Patio Heater,842-070,,129,73.94,NO — margin overstated,4,strong,,,114,23.33,107,21.63,,yes
Aosom,privacy-screens,"Grid Metal Privacy Screen, Black",844-742V00BK,,102.81,74.93,NO — margin overstated,4,below,,,115,23.19,109,22.42,,yes
Aosom,privacy-screens,"Bamboo Metal Privacy Screen with Stand, Black",84J-043V00BK,,109,74.95,NO — margin overstated,4,below,,,115,23.17,109,22.4,,yes
Aosom,privacy-screens,"Leaf Metal Privacy Screen, Black",844-743V00BK,,105,72,NO — margin overstated,5,below,,,111,22.7,104,20.88,,yes
Aosom,fire-pits,"Hanging Electric Patio Heater, Black",842-063,,129,73.06,NO — margin overstated,4,strong,,,112,22.5,106,21.61,,yes
Aosom,privacy-screens,"Willow Branch Metal Privacy Screen with Stand, Black",844-610V00BK,,109,69.92,NO — margin overstated,4,viable,,,108,22.22,101,20.27,,yes
Hill Interiors,vases,Aged Stone Tall Ceramic Vase,19418,5050140941898,105,71.03,yes,5,viable,110,20,109,21.96,103,20.95,0.9,yes
Hill Interiors,lighting,Antique Gold Hare Table Lamp With Green Velvet Shade,20696,5050140069684,105,71.03,yes,5,viable,110,59,109,21.96,103,20.95,0.9,yes
Hill Interiors,side-tables,Camden Round Side Table,23949,,105,71.03,yes,4,viable,110,108,109,21.96,103,20.95,0.9,yes
Aosom,privacy-screens,"Twisted Line Metal Privacy Screen, Black",844-747V00BK,,119,69.58,NO — margin overstated,4,strong,,,107,21.71,101,20.62,,yes
Aosom,privacy-screens,"Rhombus Metal Privacy Screen with Stand, Black",84J-042V00BK,,109,68.21,NO — margin overstated,4,strong,,,105,21.37,99,20.2,,yes
Aosom,privacy-screens,"Triangle Metal Privacy Screen with Stand, Black",844-744V00BK,,109,68.45,NO — margin overstated,4,strong,,,105,21.13,99,19.95,,yes
Hill Interiors,vases,Garda Grey Glazed Tiber Vase,21775,5050140177587,95,64.07,yes,2,viable,100,29,99,20.38,93,18.97,1,yes
Hill Interiors,garden-furniture,Echo Putty Grey Chair,24298,5050140429884,95,64.07,yes,5,viable,100,77,99,20.38,93,18.97,1,yes
Aosom,water-features,"Four-Tier Rustic Pot Fountain with Planter, Rustic Brown",84J-256V70MX,,81,63.44,NO — margin overstated,4,below,,,98,20.15,92,18.7,,yes
