supplier,category,title,sku,gtin,sitePrice,landedCost,carriageKnown,photos,tier,rrp,stock,mineBay,keepeBay,minOnBuy,keepOnBuy,vsRrp,viableOnEbayUnderRrp
Hill Interiors,vases,Garda Emerald Glazed Liv Vase,21766,5050140176689,40,30.66,yes,3,below,40,31,48,10.18,45,9.41,-20,no
Aosom,desks,"Modern Writing Desk with Storage Shelf, White Wood Grain",836-046WT,,69,29.96,NO — margin overstated,4,strong,,,47,10.02,44,9.22,,yes
Aosom,desks,"Compact Folding Desk with Storage Shelf, Rustic Brown",836-580V00RB,,89,31.84,NO — margin overstated,4,strong,,,49,9.86,47,10.03,,yes
Aosom,lighting,"Glass Droplet Pendant Chandelier, Chrome",02-0302,,59,31.21,NO — margin overstated,4,strong,,,48,9.63,46,9.76,,yes
Aosom,lighting,"Spiral LED Wall Lights, Set of 2, Gold",B31-562V00GD,,53,28.7,NO — margin overstated,4,viable,,,45,9.57,42,8.69,,yes
Aosom,lighting,"Spiral LED Wall Lights, Set of 2, Silver",B31-562V00SR,,43,29.05,NO — margin overstated,4,below,,,45,9.22,43,9.23,,yes
Aosom,desks,"Computer Desk with Hutch Shelf, Black",920-111V00BK,,41.7,28.25,NO — margin overstated,4,below,,,44,9.17,41,8.25,,yes
Aosom,garden-lighting,"Boho Rattan Solar Floor Lamp with Shelf, Yellow",867-269V00YL,,49,27.01,NO — margin overstated,4,viable,,,42,8.7,40,8.59,,yes
Aosom,garden-lighting,"Rattan Solar Floor Lantern, Grey",867-154V00GY,,43,25.36,NO — margin overstated,4,below,,,40,8.64,37,7.56,,yes
Aosom,garden-lighting,"1.77m Solar Bollard Lantern, Black",B30-006,,45,26.23,NO — margin overstated,4,below,,,41,8.63,39,8.47,,yes
Aosom,garden-lighting,"1.3m Solar Lamp Post Lights, Set of 2, Black",B30-005,,39,26.33,NO — margin overstated,4,below,,,41,8.53,39,8.38,,yes
Aosom,desks,"Compact Computer Desk with Keyboard Tray, Grey",836-410V00GY,,79,27.29,NO — margin overstated,4,strong,,,42,8.42,40,8.31,,yes
Hill Interiors,wall-art,Tristan Mirror And Wood 5X7 Frame,20837,5050140083789,33,26.49,yes,3,below,,,41,8.36,39,8.21,,yes
Aosom,garden-lighting,"Rattan Solar Floor Lantern, Brown",867-154V00BN,,39,24.16,NO — margin overstated,4,below,,,38,8.13,36,7.86,,yes
Hill Interiors,lighting,7.2m Plug In LED Warm White Cluster Micro Lights,23674,5050140367483,33,24.23,yes,2,below,,,38,8.06,36,7.79,,yes
